danm_id,commercial_name,active,inscription_date,registry_number,nombre_comercial_second,status,formula,active_ingredient,concentration,pharmaceutical_form_name,pharmaceutical_company,level_price,range_price,minimum_price_presentation,maximum_price_presentation,ranges_prices
10607,AMOXICILINA MK® 500mg CAPSULA,A,1979/02/13,10607,AMOXICILINA MK® 500mg CAPSULA,A,AMOXICILINA TRIHIDRATADA 574.71 mg.,AMOXICILINA TRIHIDRATADA,574.71 mg.,CAPSULA,"CORPORACION BONIMA, S.A. DE C.V.",0.3,0.3,8.88,8.88,$8.88 - $8.88
10608,AMOXICILINA MK® 125mg/5mL POLVO PARA SUSPENSION,A,1979/02/13,10608,AMOXICILINA MK® 125mg/5mL POLVO PARA SUSPENSION,A,AMOXICILINA TRIHIDRATO 154.5 mg.,AMOXICILINA TRIHIDRATO,154.5 mg.,POLVO PARA SUSPENSIÓN,"CORPORACION BONIMA, S.A. DE C.V.",0.06,0.06,3.75,3.75,$3.75 - $3.75
10609,AMOXICILINA MK® 250mg/5mL POLVO PARA SUSPENSION,A,1979/02/13,10609,AMOXICILINA MK® 250mg/5mL POLVO PARA SUSPENSION,A,AMOXICILINA TRIHIDRATO 301.717 mg.,AMOXICILINA TRIHIDRATO,301.717 mg.,POLVO PARA SUSPENSIÓN,"CORPORACION BONIMA, S.A. DE C.V.",0.07,0.07,4.04,6.41,$4.04 - $6.41
10631,PULMO GRIP BALSAMICO NORDIC SOLUCION INYECTABLE,A,1979/01/16,10631,PULMO GRIP BALSAMICO NORDIC SOLUCION INYECTABLE,A,DIPIRONA 500 mg. + Clorfeniramina Maleato 4 mg. + Clorhidrato de fenilefrina 2 mg. + Guaifenesina 200 mg. + A.B.O.B. 300 mg.,DIPIRONA + Clorfeniramina Maleato + Clorhidrato de fenilefrina + Guaifenesina + A.B.O.B.,500 mg. + 4 mg. + 2 mg. + 200 mg. + 300 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,2.5,2.5,2.5,2.5,$2.50 - $2.50
10646,SULFATO FERROSO RADON FORTE GRAGEAS,A,1979/02/27,,,,,,,,,0.47,0.47,2.06,8.79,$2.06 - $8.79
10649,METOCARBAMOL VIJOSA 100 mg/mL SOLUCION INYECTABLE,A,1979/02/27,10649,METOCARBAMOL VIJOSA 100 mg/mL SOLUCION INYECTABLE,A,Metocarbamol 1 g.,Metocarbamol,1 g.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.29,0.29,1.85,4,$1.85 - $4.00
10653,BEBETINA® 80 mg TABLETA MASTICABLE,A,1979/03/20,10653,BEBETINA® 80 mg TABLETA MASTICABLE,A,Paracetamol 80 mg.,Paracetamol,80 mg.,TABLETAS MASTICABLES,LABORATORIO FARMACEUTICO VIDES,0.07,0.07,6.74,6.74,$6.74 - $6.74
10661,ZINNAT 750mg INYECTABLE,A,1979/01/17,10661,ZINNAT 750mg INYECTABLE,A,CEFUROXIMA SODICA 789 mg.,CEFUROXIMA SODICA,789 mg.,POLVO PARA SUSPENSIÓN,GLAXOSMITHKLINE MANUFACTURING S.P.A. (1),0.02,0.02,11.64,11.64,$11.64 - $11.64
10697,ERITROMICINA MK 500mg TABLETA,A,1979/03/20,10697,ERITROMICINA MK 500mg TABLETA,A,ESTEARATO DE ERITROMICINA 850.34 mg.,ESTEARATO DE ERITROMICINA,850.34 mg.,TABLETAS,"CORPORACION BONIMA, S.A. DE C.V.",0.23,0.23,11.74,11.74,$11.74 - $11.74
10717,MELADININA 10.000mg TABLETAS,A,1979/04/03,10717,MELADININA 10.000mg TABLETAS,A,METOXALENO 10 mg.,METOXALENO,10 mg.,TABLETAS,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",0.53,0.53,15.84,15.84,$15.84 - $15.84
10753,VIGOREX  SOLUCION ORAL ,A,1979/05/08,10753,VIGOREX  SOLUCION ORAL ,A,GLICEROFOSFATO DE MAGNESIO 16 mg. + GLICEROFOSFATO DE CALCIO 37.5 mg. + Hierro amoniacal citrato 100 mg. + Riboflavina 5´-Fosfato de sodio 3 mg. + TIAMINA HCL 5 mg. + CIANOCOBALAMINA 50 mcg. + PIRIDOXINA HCL 3 mg.,GLICEROFOSFATO DE MAGNESIO + GLICEROFOSFATO DE CALCIO + Hierro amoniacal citrato + Riboflavina 5´-Fosfato de sodio + TIAMINA HCL + CIANOCOBALAMINA + PIRIDOXINA HCL,16 mg. + 37.5 mg. + 100 mg. + 3 mg. + 5 mg. + 50 mcg. + 3 mg.,SOLUCION ORAL,LABORATORIO FARMACEUTICO FARDEL,0.08,0.08,11.52,11.52,$11.52 - $11.52
10774,INTESTOCORT SUSPENSION,A,2008/05/22,10774,INTESTOCORT SUSPENSION,A,SULFATO DE DIHIDROESTREPTOMICINA 2 g. + Sulfaguanidina 10 g. + PECTINA CITRICA 0.6 g.,SULFATO DE DIHIDROESTREPTOMICINA + Sulfaguanidina + PECTINA CITRICA,2 g. + 10 g. + 0.6 g.,SUSPENSION,LABORATORIO FARMACEUTICO FARDEL,0.13,0.13,7.89,7.89,$7.89 - $7.89
10775,TUSSYN JARABE,A,1979/05/08,10775,TUSSYN JARABE,A,Dextrometorfan HBr 5 mg. + GUAYACOLATO DE GLICERILO 100 mg. + CLORFENIRAMINA MALEATO 5 mg.,Dextrometorfan HBr + GUAYACOLATO DE GLICERILO + CLORFENIRAMINA MALEATO,5 mg. + 100 mg. + 5 mg.,JARABE,LABORATORIOS MEDIKEM,0.05,0.05,6.41,6.41,$6.41 - $6.41
10868,CONTRACTUBEX GEL,A,1979/06/19,10868,CONTRACTUBEX GEL,A,ALANTOÍNA 1 g. + HEPARINA SODICA 5000 IE + EXTR. CEPAE FLUID. 10 g.,ALANTOÍNA + HEPARINA SODICA + EXTR. CEPAE FLUID.,1 g. + 5000 IE + 10 g.,GEL,MERZ PHARMA GMBH & CO. KGAA,0.47,0.47,11.23,19.16,$11.23 - $19.16
10874,PIRAZINAMIDA 500mg TABLETAS ECOMED,A,1978/12/05,10874,PIRAZINAMIDA 500mg TABLETAS ECOMED,A,PIRAZINAMIDA 500 mg.,PIRAZINAMIDA,500 mg.,TABLETA,LABORATORIOS PHARMEDIC,,,,,
10929,KAOKEM SUSPENSION,A,1979/07/03,10929,KAOKEM SUSPENSION,A,KAOLIN 375 mg. + Neomicina 50 mg. + METILBROMURO DE ATROPINA 0.85 mg. + PECTINA CITRICA 28 mg.,KAOLIN + Neomicina + METILBROMURO DE ATROPINA + PECTINA CITRICA,375 mg. + 50 mg. + 0.85 mg. + 28 mg.,SUSPENSION,LABORATORIOS MEDIKEM,0.08,0.08,6.97,6.97,$6.97 - $6.97
10932,CANESTEN V1% CREMA VAGINAL,A,1978/07/24,10932,CANESTEN V1% CREMA VAGINAL,A,Clotrimazol 1 g.,Clotrimazol,1 g.,CREMA VAGINAL,GP GRENZACH PRODUKTIONS GMBH.,0.44,0.44,15.32,15.32,$15.32 - $15.32
10990,DAKTARIN  2 g/100 g GEL,A,1979/08/28,10990,DAKTARIN  2 g/100 g GEL,A,MICONAZOL NITRATO 2 g.,MICONAZOL NITRATO,2 g.,GEL,"JANSSEN CILAG, S.A. DE C.V., MEXICO",0.19,0.19,14.54,14.54,$14.54 - $14.54
10993,BOLSA PARA COLECCION Y ALMACENAMIENTO DE SANGRE CON SOLUCION ANTINCOAGULANTE DE C.P.D. (U.S.P.),A,1979/08/28,10993,BOLSA PARA COLECCION Y ALMACENAMIENTO DE SANGRE CON SOLUCION ANTINCOAGULANTE DE C.P.D. (U.S.P.),A,ACIDO CITRICO 3.27 g. + CITRATO DE SODIO 26.3 g. + DEXTROSA 25.5 g. + FOSFATO SÓDICO 2.22 g.,ACIDO CITRICO + CITRATO DE SODIO + DEXTROSA + FOSFATO SÓDICO,3.27 g. + 26.3 g. + 25.5 g. + 2.22 g.,SOLUCION,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",,,,,
11018,SILVERDIAZINE 1% CREMA,A,1979/09/11,11018,SILVERDIAZINE 1% CREMA,A,SULFADIAZINA 1 g.,SULFADIAZINA,1 g.,CREMA,LABORATORIOS PHARMEDIC,0.07,0.07,5.35,5.5,$5.35 - $5.50
11045,DEPAKENE 250 mg/5 mL JARABE,A,1979/09/25,11045,DEPAKENE 250 mg/5 mL JARABE,A,VALPROATO DE SODIO (EQUIVALENTE A ACIDO VALPROICO) 5 g/100ml,VALPROATO DE SODIO (EQUIVALENTE A ACIDO VALPROICO),5 g/100ml,JARABE,"ABBOTT LABORATORIES DE MEXICO, S.A. DE C.V.",0.2,0.2,23.13,23.88,$23.13 - $23.88
11051,BACZOL ANTIGRIPAL BALSAMICO SUSPENSION,A,1979/09/25,11051,BACZOL ANTIGRIPAL BALSAMICO SUSPENSION,A,DIPIRONA 250 mg. + Clorhidrato de fenilefrina 2.5 mg. + Sulfametoxazol 200 mg. + Trimetoprim 40 mg. + Guaifenesina 50 mg. + CLORFENIRAMINA MALEATO 1 mg.,DIPIRONA + Clorhidrato de fenilefrina + Sulfametoxazol + Trimetoprim + Guaifenesina + CLORFENIRAMINA MALEATO,250 mg. + 2.5 mg. + 200 mg. + 40 mg. + 50 mg. + 1 mg.,SUSPENSION,"PROCAPS, S.A. DE C.V.",0.06,0.06,4.39,6.71,$4.39 - $6.71
11062,HOLOXAN 1g POLVO PARA SOLUCION INYECTABLE,A,1979/06/12,11062,HOLOXAN 1g POLVO PARA SOLUCION INYECTABLE,A,IFOSFAMIDA 1 g.,IFOSFAMIDA,1 g.,POLVO PARA SOLUCION INYECTABLE,BAXTER ONCOLOGY GMBH,,,,,
11063,HOLOXAN 2g POLVO PARA SOLUCION INYECTABLE,A,1979/06/05,11063,HOLOXAN 2g POLVO PARA SOLUCION INYECTABLE,A,IFOSFAMIDA 2000 mg.,IFOSFAMIDA,2000 mg.,POLVO PARA SOLUCION INYECTABLE,BAXTER ONCOLOGY GMBH,,,,,
11101,A-D FAR UNGUENTO,A,1979/09/25,11101,A-D FAR UNGUENTO,A,Colecalciferol 20 UI + RETINOL (VITAMINA A) 150 UI,Colecalciferol + RETINOL (VITAMINA A),20 UI + 150 UI,UNGUENTO,LABORATORIOS LAFAR,,,,,
11129,SOLUCION ISOTONICA DE CLORURO DE SODIO AL 0.9% I.V. SOLUCION INYECTABLE,A,1979/10/23,11129,SOLUCION ISOTONICA DE CLORURO DE SODIO AL 0.9% I.V. SOLUCION INYECTABLE,A,CLORURO DE SODIO 0.9 g.,CLORURO DE SODIO,0.9 g.,SOLUCION INYECTABLE,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",0.02,0.02,1.53,13.74,$1.53 - $13.74
11130,"DEXTROSA 5% SOLUCION INYECTABLE
",A,1979/10/23,11130,"DEXTROSA 5% SOLUCION INYECTABLE
",A,DEXTROSA 5 g.,DEXTROSA,5 g.,SOLUCION INYECTABLE,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",0.02,0.02,2.14,3.3,$2.14 - $3.30
11131,SOLUCION INYECTABLE DE DEXTROSA AL 5% Y CLORURO DE SODIO AL 0.9%,A,1979/10/23,11131,SOLUCION INYECTABLE DE DEXTROSA AL 5% Y CLORURO DE SODIO AL 0.9%,A,CLORURO DE SODIO 0.9 g. + DEXTROSA 5 g.,CLORURO DE SODIO + DEXTROSA,0.9 g. + 5 g.,SOLUCION INYECTABLE,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",0.01,0.01,2,3.14,$2.00 - $3.14
11163,CETAMOL 120 mg/5 mL  JARABE,A,1978/09/25,11163,CETAMOL 120 mg/5 mL  JARABE,A,Acetaminofén 120 mg.,Acetaminofén,120 mg.,JARABE,LABORATORIO FARMACEUTICO VIDES,0.08,0.08,5.03,5.03,$5.03 - $5.03
11204,GANOL® 500 TABLETA,A,1979/12/21,11204,GANOL® 500 TABLETA,A,Paracetamol 500 mg.,Paracetamol,500 mg.,TABLETAS,LABORATORIO FARMACEUTICO VIDES,0.37,0.37,2.28,7.71,$2.28 - $7.71
11230,ALUGEL COMPUESTO SUSPENSION,A,1979/10/29,,,,,,,,,0.04,0.04,9.24,9.35,$9.24 - $9.35
11275,VITASIL E VITAMINA E 400 U.I. CAPSULAS,A,1980/03/04,11275,VITASIL E VITAMINA E 400 U.I. CAPSULAS,A,VITAMINA E ACETATO 400 UI + Aceite de soya 25 mg. + VITAMINA E ACETATO 400 UI + Aceite de soya 25 mg.,VITAMINA E ACETATO + Aceite de soya + VITAMINA E ACETATO + Aceite de soya,400 UI + 25 mg. + 400 UI + 25 mg.,CAPSULA,"LABORATORIOS FARGEL, S.A.",0.26,0.26,7.9,7.9,$7.90 - $7.90
11276,VITASIL A VITAMINA A 10.000 UI  CAPSULAS,A,1980/03/04,11276,VITASIL A VITAMINA A 10.000 UI  CAPSULAS,A,Aceite de soya 165 mg. + VITAMINA A PALMITATO 6 mg. + Aceite de soya 165 mg. + VITAMINA A PALMITATO 6 mg.,Aceite de soya + VITAMINA A PALMITATO + Aceite de soya + VITAMINA A PALMITATO,165 mg. + 6 mg. + 165 mg. + 6 mg.,CAPSULA,"FARMACAPS, S.A.",0.18,0.18,7.21,7.5,$7.21 - $7.50
11277,VITASIL M MULTIVITAMINICO CON SALES MINERALES CAPSULAS,A,1980/03/04,11277,VITASIL M MULTIVITAMINICO CON SALES MINERALES CAPSULAS,A,VITAMINA B12  5 mg. + VITAMINA C 150 mg. + Hierro 10 mg. + Magnesio 5.5 mg. + Manganeso 1 mg. + POTASIO 5 mg. + CALCIO 103 mg. + FOSFORO 80 mg. + VITAMINA D 400 UI + VITAMINA B1 10 mg. + VITAMINA B6 1 mg. + VITAMINA B2 5 mg. + ZINC 1.4 mg. + VITAMINA A 10000 UI + NIACINAMIDA 100 mg. + VITAMINA B12  5 mg. + VITAMINA C 150 mg. + Hierro 10 mg. + Magnesio 5.5 mg. + Manganeso 1 mg. + POTASIO 5 mg. + CALCIO 103 mg. + FOSFORO 80 mg. + VITAMINA D 400 UI + VITAMINA B1 10 mg. + VITAMINA B6 1 mg. + VITAMINA B2 5 mg. + ZINC 1.4 mg. + VITAMINA A 10000 UI + NIACINAMIDA 100 mg.,VITAMINA B12  + VITAMINA C + Hierro + Magnesio + Manganeso + POTASIO + CALCIO + FOSFORO + VITAMINA D + VITAMINA B1 + VITAMINA B6 + VITAMINA B2 + ZINC + VITAMINA A + NIACINAMIDA + VITAMINA B12  + VITAMINA C + Hierro + Magnesio + Manganeso + POTASIO + CALCIO + FOSFORO + VITAMINA D + VITAMINA B1 + VITAMINA B6 + VITAMINA B2 + ZINC + VITAMINA A + NIACINAMIDA,5 mg. + 150 mg. + 10 mg. + 5.5 mg. + 1 mg. + 5 mg. + 103 mg. + 80 mg. + 400 UI + 10 mg. + 1 mg. + 5 mg. + 1.4 mg. + 10000 UI + 100 mg. + 5 mg. + 150 mg. + 10 mg. + 5.5 mg. + 1 mg. + 5 mg. + 103 mg. + 80 mg. + 400 UI + 10 mg. + 1 mg. + 5 mg. + 1.4 mg. + 10000 UI + 100 mg.,CAPSULA,PHARMACAPS S.A.,0.26,0.26,7.9,7.9,$7.90 - $7.90
11331,VITASIL AD CAPSULAS,A,1980/05/06,11331,VITASIL AD CAPSULAS,A,Colecalciferol 9.25 mg. + ACEITE DE HIGADO DE BACALAO 300 mg. + VITAMINA A 5.706 mg. + Colecalciferol 9.25 mg. + ACEITE DE HIGADO DE BACALAO 300 mg. + VITAMINA A 5.706 mg.,Colecalciferol + ACEITE DE HIGADO DE BACALAO + VITAMINA A + Colecalciferol + ACEITE DE HIGADO DE BACALAO + VITAMINA A,9.25 mg. + 300 mg. + 5.706 mg. + 9.25 mg. + 300 mg. + 5.706 mg.,CAPSULA,LABORATORIOS FARMACAPS,0.15,0.15,4.54,4.54,$4.54 - $4.54
11398,TETRACICLINA MK 500 mg CAPSULA,A,1980/06/03,11398,TETRACICLINA MK 500 mg CAPSULA,A,TETRACICLINA CLORHIDRATO 514.5 mg.,TETRACICLINA CLORHIDRATO,514.5 mg.,CAPSULA,"CORPORACION BONIMA, S.A. DE C.V.",0.08,0.08,8.46,8.46,$8.46 - $8.46
11429,TIAMINA 300 ANCALMO TABLETAS ,A,1980/06/17,11429,TIAMINA 300 ANCALMO TABLETAS ,A,CAFEINA ANHIDRA 80 mg. + Tiamina 300 mg.,CAFEINA ANHIDRA + Tiamina,80 mg. + 300 mg.,TABLETAS,LABORATORIO ANCALMO,0.08,0.08,8.22,8.22,$8.22 - $8.22
11456,DOXIUM 500 mg CAPSULAS,A,1980/04/09,11456,DOXIUM 500 mg CAPSULAS,A,Dobesilato de calcio 500 mg.,Dobesilato de calcio,500 mg.,CAPSULAS,OM PHARMA S.A.,0.86,0.86,29.44,74.45,$29.44 - $74.45
11458,ETALPHA 1 mcg CAPSULAS,A,1980/04/08,11458,ETALPHA LEO 1 mcg CAPSULAS,A,ALFACALCIDOL 1 mcg.,ALFACALCIDOL,1 mcg.,CAPSULA,LEO PHARMA A/S.,1.16,1.16,50.14,64.33,$50.14 - $64.33
11459,ETALPHA 0.25 mcg  CAPSULAS ,A,1980/07/29,11459,ETALPHA LEO 0.25 mcg  CAPSULAS ,A,ALFACALCIDOL 0.25 mcg.,ALFACALCIDOL,0.25 mcg.,CAPSULA,LEO PHARMA A/S.,2.03,2.03,24.22,32.59,$24.22 - $32.59
11499,"PEN DI BEN 2,400,000 U.I. POLVO PARA SUSPENSION INYECTABLE",A,1980/05/20,11499,"PEN DI BEN 2,400,000 U.I. POLVO PARA SUSPENSION INYECTABLE",A,PENICILINA G BENZATINICA 2400000 UI + LIDOCAINA CLORHIDRATO 35 mg.,PENICILINA G BENZATINICA + LIDOCAINA CLORHIDRATO,2400000 UI + 35 mg.,POLVO PARA SUSPENSION INYECTABLE,"LABORATORIOS BAGÓ, S.A.",6.41,6.41,6.41,6.41,$6.41 - $6.41
11500,"PEN DI BEN 1,200.000 U.I POLVO PARA SUSPENSION  INYECTABLE",A,1980/04/08,11500,"PEN DI BEN 1,200.000 U.I POLVO PARA SUSPENSION  INYECTABLE",A,PENICILINA G BENZATINICA 1200000 UI,PENICILINA G BENZATINICA,1200000 UI,POLVO PARA SUSPENSION INYECTABLE,"LABORATORIOS BAGÓ, S.A.",6.08,6.08,6.08,6.08,$6.08 - $6.08
11506,ATLANSIL 150 mg INYECTABLE,A,1980/08/12,11506,ATLANSIL 150 mg INYECTABLE,A,AMIODARONA CLORHIDRATO 150 mg. + AMIODARONA CLORHIDRATO 150 mg.,AMIODARONA CLORHIDRATO + AMIODARONA CLORHIDRATO,150 mg. + 150 mg.,SOLUCION INYECTABLE,ACROMAX LABORATORIO QUIMICO FARMACEUTICO S.A,0.65,0.65,11.64,11.64,$11.64 - $11.64
11522,BABY CARE,A,1980/08/26,11522,BABY CARE,A,OXIDO DE ZINC 13 g. + Colecalciferol 0.488 g. + Cloruro de benzalconio 0.488 g. + ALMIDON 63.52 g. + VITAMINA A PALMITATO 2.932 g.,OXIDO DE ZINC + Colecalciferol + Cloruro de benzalconio + ALMIDON + VITAMINA A PALMITATO,13 g. + 0.488 g. + 0.488 g. + 63.52 g. + 2.932 g.,CREMA,LABORATORIO FARMACEUTICO FARDEL,0.29,0.29,4.99,7.38,$4.99 - $7.38
11525,GRISFULVIN-REAL  500 mg  TABLETAS ,A,1980/08/26,11525,GRISFULVIN-REAL  500 mg  TABLETAS ,A,GRISEOFULVINA  500 mg.,GRISEOFULVINA ,500 mg.,TABLETAS,LABORATORIO FARMACEUTICO FARDEL,0.34,0.34,6.84,6.84,$6.84 - $6.84
11575,NIACIN-FORD 100 mg TABLETAS,A,1980/10/07,11575,NIACIN-FORD 100 mg TABLETAS,A,ACIDO NICOTINICO 100 mg.,ACIDO NICOTINICO,100 mg.,TABLETAS,PARETO D/B/A FORD LABORATORIES INC,0.13,0.13,12.87,12.87,$12.87 - $12.87
11597,THERIMIN M FORD TABLETAS,A,1980/10/21,11597,THERIMIN M FORD TABLETAS,A,POTASIO 7.5 mg. + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) 10 mg. + VITAMINA B12 (CIANOCOBALAMINA) 6 mcg. + Folacina 30 mcg. + VITAMINA C 90 mg. + NIACINA 20 mg. + Hierro 27 mg. + Magnesio 100 mg. + Manganeso 5 mg. + SELENIUM 10 mcg. + Cromo 15 mcg. + COBRE 2 mg. + CALCIO 5 mg. + DL-Alfa tocoferil acetato 30 UI + FOSFORO 31 mg. + VITAMINA B6 (PIRIDOXINA) 3 mg. + VITAMINA D 400 UI + VITAMINA B1 (TIAMINA CLORHIDRATO) 3 mg. + YODURO 150 mcg. + D-BIOTINA 30 mcg. + VITAMINA B2 (RIVOFLAVINA) 3.4 mg. + VITAMINA A 5000 UI,POTASIO + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) + VITAMINA B12 (CIANOCOBALAMINA) + Folacina + VITAMINA C + NIACINA + Hierro + Magnesio + Manganeso + SELENIUM + Cromo + COBRE + CALCIO + DL-Alfa tocoferil acetato + FOSFORO + VITAMINA B6 (PIRIDOXINA) + VITAMINA D + VITAMINA B1 (TIAMINA CLORHIDRATO) + YODURO + D-BIOTINA + VITAMINA B2 (RIVOFLAVINA) + VITAMINA A,7.5 mg. + 10 mg. + 6 mcg. + 30 mcg. + 90 mg. + 20 mg. + 27 mg. + 100 mg. + 5 mg. + 10 mcg. + 15 mcg. + 2 mg. + 5 mg. + 30 UI + 31 mg. + 3 mg. + 400 UI + 3 mg. + 150 mcg. + 30 mcg. + 3.4 mg. + 5000 UI,TABLETAS,PARETO D/B/A FORD LABORATORIES INC,0.22,0.22,22.07,22.07,$22.07 - $22.07
11599,VITAMINA E NATURAL FORD CAPSULAS,A,1980/10/28,11599,VITAMINA E NATURAL FORD CAPSULAS,A,D-Alfa tocoferol 400 UI,D-Alfa tocoferol,400 UI,CAPSULA,PARETO D/B/A FORD LABORATORIES INC,0.25,0.25,25.06,25.06,$25.06 - $25.06
